😀 => 😀, چہرہ؛ منہ؛ کھلا؛ ہنسی
🇦🇶 => 🇦🇶, انٹارکٹیکا
🇦🇷 => 🇦🇷, ارجنٹینا
🇦🇸 => 🇦🇸, امریکی ساموآ
🇦🇹 => 🇦🇹, آسٹریا
🇦🇺 => 🇦🇺, آسٹریلیا
🇦🇼 => 🇦🇼, اروبا
🇦🇽 => 🇦🇽, آلینڈ آئلینڈز
🇦🇿 => 🇦🇿, آذربائجان
🇧🇦 => 🇧🇦, بوسنیا اور ہرزیگووینا
🇧🇧 => 🇧🇧, بارباڈوس
🇧🇩 => 🇧🇩, بنگلہ دیش
🇧🇪 => 🇧🇪, بیلجیم
🇧🇫 => 🇧🇫, برکینا فاسو
🇧🇬 => 🇧🇬, بلغاریہ
🇧🇭 => 🇧🇭, بحرین
🇧🇮 => 🇧🇮, برونڈی
🇧🇯 => 🇧🇯, بینن
🇧🇱 => 🇧🇱, سینٹ برتھلیمی
🇧🇲 => 🇧🇲, برمودا
🇧🇳 => 🇧🇳, برونئی
🇧🇴 => 🇧🇴, بولیویا
🇧🇶 => 🇧🇶, کریبیائی نیدرلینڈز
🇧🇷 => 🇧🇷, برازیل
🇧🇸 => 🇧🇸, بہاماس
🇧🇹 => 🇧🇹, بھوٹان
🇧🇻 => 🇧🇻, بؤویٹ آئلینڈ
🇧🇼 => 🇧🇼, بوتسوانا
🇧🇾 => 🇧🇾, بیلاروس
🇧🇿 => 🇧🇿, بیلائز
🇨🇦 => 🇨🇦, کینیڈا
🇨🇨 => 🇨🇨, کوکوس (کیلنگ) جزائر
🇨🇩 => 🇨🇩, کانگو - کنشاسا
🇨🇫 => 🇨🇫, وسط افریقی جمہوریہ
🇨🇬 => 🇨🇬, کانگو - برازاویلے
🇨🇭 => 🇨🇭, سوئٹزر لینڈ
🇨🇮 => 🇨🇮, کوٹ ڈی آئیوری
🇨🇰 => 🇨🇰, کک آئلینڈز
🇨🇱 => 🇨🇱, چلی
🇨🇲 => 🇨🇲, کیمرون
🇨🇳 => 🇨🇳, چین
🇨🇴 => 🇨🇴, کولمبیا
🇨🇵 => 🇨🇵, کلپرٹن آئلینڈ
🇨🇷 => 🇨🇷, کوسٹا ریکا
🇨🇺 => 🇨🇺, کیوبا
🇨🇻 => 🇨🇻, کیپ ورڈی
🇨🇼 => 🇨🇼, کیوراکاؤ
🇨🇽 => 🇨🇽, کرسمس آئلینڈ
🇨🇾 => 🇨🇾, قبرص
🇨🇿 => 🇨🇿, چیک جمہوریہ
🇩🇪 => 🇩🇪, جرمنی
🇩🇬 => 🇩🇬, ڈائجو گارسیا
🇩🇯 => 🇩🇯, جبوتی
🇩🇰 => 🇩🇰, ڈنمارک
🇩🇲 => 🇩🇲, ڈومنیکا
🇩🇴 => 🇩🇴, ڈومنیکن جمہوریہ
🇩🇿 => 🇩🇿, الجیریا
🇪🇦 => 🇪🇦, سیئوٹا اور میلیلا
🇪🇨 => 🇪🇨, ایکواڈور
🇪🇪 => 🇪🇪, اسٹونیا
🇪🇬 => 🇪🇬, مصر
🇪🇭 => 🇪🇭, مغربی صحارا
🇪🇷 => 🇪🇷, اریٹیریا
🇪🇸 => 🇪🇸, ہسپانیہ
🇪🇹 => 🇪🇹, ایتھوپیا
🇪🇺 => 🇪🇺, یوروپی یونین
🇫🇮 => 🇫🇮, فن لینڈ
🇫🇯 => 🇫🇯, فجی
🇫🇰 => 🇫🇰, فاکلینڈ جزائر
🇫🇲 => 🇫🇲, مائکرونیشیا
🇫🇴 => 🇫🇴, جزائر فارو
🇫🇷 => 🇫🇷, فرانس
🇬🇦 => 🇬🇦, گیبون
🇬🇧 => 🇬🇧, سلطنت متحدہ
🇬🇩 => 🇬🇩, گریناڈا
🇬🇪 => 🇬🇪, جارجیا
🇬🇫 => 🇬🇫, فرینچ گیانا
🇬🇬 => 🇬🇬, گوئرنسی
🇬🇭 => 🇬🇭, گھانا
🇬🇮 => 🇬🇮, جبل الطارق
🇬🇱 => 🇬🇱, گرین لینڈ
🇬🇲 => 🇬🇲, گامبیا
🇬🇳 => 🇬🇳, گنی
🇬🇵 => 🇬🇵, گواڈیلوپ
🇬🇶 => 🇬🇶, استوائی گیانا
🇬🇷 => 🇬🇷, یونان
🇬🇸 => 🇬🇸, جنوبی جارجیا اور جنوبی سینڈوچ جزائر
🇬🇹 => 🇬🇹, گواٹے مالا
🇬🇺 => 🇬🇺, گوآم
🇬🇼 => 🇬🇼, گنی بساؤ
🇬🇾 => 🇬🇾, گیانا
🇭🇰 => 🇭🇰, ہانگ کانگ sar چین
🇭🇲 => 🇭🇲, ہیئرڈ آئلینڈ اور میکڈونالڈ آئلینڈز
🇭🇳 => 🇭🇳, ہونڈاروس
🇭🇷 => 🇭🇷, کروشیا
🇭🇹 => 🇭🇹, ہیتی
🇭🇺 => 🇭🇺, ہنگری
🇮🇨 => 🇮🇨, کینری آئلینڈز
🇮🇩 => 🇮🇩, انڈونیشیا
🇮🇪 => 🇮🇪, آئرلینڈ
🇮🇱 => 🇮🇱, اسرائیل
🇮🇲 => 🇮🇲, آئل آف مین
🇮🇳 => 🇮🇳, بھارت
🇮🇴 => 🇮🇴, برطانوی ہندوستانی سمندری خطہ
🇮🇶 => 🇮🇶, عراق
🇮🇷 => 🇮🇷, ایران
🇮🇸 => 🇮🇸, آئس لینڈ
🇮🇹 => 🇮🇹, اٹلی
🇯🇪 => 🇯🇪, جرسی
🇯🇲 => 🇯🇲, جمائیکا
🇯🇴 => 🇯🇴, اردن
🇯🇵 => 🇯🇵, جاپان
🇰🇪 => 🇰🇪, کینیا
🇰🇬 => 🇰🇬, کرغزستان
🇰🇭 => 🇰🇭, کمبوڈیا
🇰🇮 => 🇰🇮, کریباتی
🇰🇲 => 🇰🇲, کوموروس
🇰🇳 => 🇰🇳, سینٹ کٹس اور نیویس
🇰🇵 => 🇰🇵, شمالی کوریا
🇰🇷 => 🇰🇷, جنوبی کوریا
🇰🇼 => 🇰🇼, کویت
🇰🇾 => 🇰🇾, کیمین آئلینڈز
🇰🇿 => 🇰🇿, قزاخستان
🇱🇦 => 🇱🇦, لاؤس
🇱🇧 => 🇱🇧, لبنان
🇱🇨 => 🇱🇨, سینٹ لوسیا
🇱🇮 => 🇱🇮, لیشٹنسٹائن
🇱🇰 => 🇱🇰, سری لنکا
🇱🇷 => 🇱🇷, لائبیریا
🇱🇸 => 🇱🇸, لیسوتھو
🇱🇹 => 🇱🇹, لتھوانیا
🇱🇺 => 🇱🇺, لگژمبرگ
🇱🇻 => 🇱🇻, لٹویا
🇱🇾 => 🇱🇾, لیبیا
🇲🇦 => 🇲🇦, مراقش
🇲🇨 => 🇲🇨, موناکو
🇲🇩 => 🇲🇩, مالدووا
🇲🇪 => 🇲🇪, مونٹے نیگرو
🇲🇫 => 🇲🇫, سینٹ مارٹن
🇲🇬 => 🇲🇬, مڈغاسکر
🇲🇭 => 🇲🇭, مارشل آئلینڈز
🇲🇰 => 🇲🇰, مقدونیہ
🇲🇱 => 🇲🇱, مالی
🇲🇲 => 🇲🇲, میانمار (برما)
🇲🇳 => 🇲🇳, منگولیا
🇲🇴 => 🇲🇴, مکاؤ sar چین
🇲🇵 => 🇲🇵, شمالی ماریانا آئلینڈز
🇲🇶 => 🇲🇶, مارٹینک
🇲🇷 => 🇲🇷, موریطانیہ
🇲🇸 => 🇲🇸, مونٹسیراٹ
🇲🇹 => 🇲🇹, مالٹا
🇲🇺 => 🇲🇺, ماریشس
🇲🇻 => 🇲🇻, مالدیپ
🇲🇼 => 🇲🇼, ملاوی
🇲🇽 => 🇲🇽, میکسیکو
🇲🇾 => 🇲🇾, ملیشیا
🇲🇿 => 🇲🇿, موزمبیق
🇳🇦 => 🇳🇦, نامیبیا
🇳🇨 => 🇳🇨, نیو کلیڈونیا
🇳🇪 => 🇳🇪, نائجر
🇳🇫 => 🇳🇫, نارفوک آئلینڈ
🇳🇬 => 🇳🇬, نائجیریا
🇳🇮 => 🇳🇮, نکاراگووا
🇳🇱 => 🇳🇱, نیدر لینڈز
🇳🇴 => 🇳🇴, ناروے
🇳🇵 => 🇳🇵, نیپال
🇳🇷 => 🇳🇷, نؤرو
🇳🇺 => 🇳🇺, نیئو
🇳🇿 => 🇳🇿, نیوزی ینڈ
🇴🇲 => 🇴🇲, عمان
🇵🇦 => 🇵🇦, پنامہ
🇵🇪 => 🇵🇪, پیرو
🇵🇫 => 🇵🇫, فرانسیسی پولینیشیا
🇵🇬 => 🇵🇬, پاپوآ نیو گنی
🇵🇭 => 🇵🇭, فلپائنی
🇵🇰 => 🇵🇰, پاکستان
🇵🇱 => 🇵🇱, پولینڈ
🇵🇲 => 🇵🇲, سینٹ پیئر اور میکلیئون
🇵🇳 => 🇵🇳, پٹکائرن جزائر
🇵🇷 => 🇵🇷, پیورٹو ریکو
🇵🇸 => 🇵🇸, فلسطینی خطے
🇵🇹 => 🇵🇹, پرتگال
🇵🇼 => 🇵🇼, پلاؤ
🇵🇾 => 🇵🇾, پیراگوئے
🇶🇦 => 🇶🇦, قطر
🇶🇴 => 🇶🇴, بیرونی اوشیانیا
🇷🇪 => 🇷🇪, ری یونین
🇷🇴 => 🇷🇴, رومانیا
🇷🇸 => 🇷🇸, سربیا
🇷🇺 => 🇷🇺, روس
🇷🇼 => 🇷🇼, روانڈا
🇸🇦 => 🇸🇦, سعودی عرب
🇸🇧 => 🇸🇧, سولومن آئلینڈز
🇸🇨 => 🇸🇨, سشلیز
🇸🇩 => 🇸🇩, سوڈان
🇸🇪 => 🇸🇪, سویڈن
🇸🇬 => 🇸🇬, سنگاپور
🇸🇭 => 🇸🇭, سینٹ ہیلینا
🇸🇮 => 🇸🇮, سلووینیا
🇸🇯 => 🇸🇯, سوالبرڈ اور جان ماین
🇸🇰 => 🇸🇰, سلوواکیہ
🇸🇱 => 🇸🇱, سیئر لیون
🇸🇲 => 🇸🇲, سان مارینو
🇸🇳 => 🇸🇳, سینیگل
🇸🇴 => 🇸🇴, صومالیہ
🇸🇷 => 🇸🇷, سورینام
🇸🇸 => 🇸🇸, جنوبی سوڈان
🇸🇹 => 🇸🇹, ساؤ ٹوم اور پرنسپے
🇸🇻 => 🇸🇻, ال سلواڈور
🇸🇽 => 🇸🇽, سنٹ مارٹن
🇸🇾 => 🇸🇾, شام
🇸🇿 => 🇸🇿, سوازی لینڈ
🇹🇦 => 🇹🇦, ٹرسٹن ڈا کیونہا
🇹🇨 => 🇹🇨, ترکس اور کیکاؤس جزائر
🇹🇩 => 🇹🇩, چاڈ
🇹🇫 => 🇹🇫, فرانسیسی جنوبی خطے
🇹🇬 => 🇹🇬, ٹوگو
🇹🇭 => 🇹🇭, تھائی لینڈ
🇹🇯 => 🇹🇯, تاجکستان
🇹🇰 => 🇹🇰, ٹوکیلاؤ
🇹🇱 => 🇹🇱, تیمور لیسٹ
🇹🇲 => 🇹🇲, ترکمانستان
🇹🇳 => 🇹🇳, تیونیسیا
🇹🇴 => 🇹🇴, ٹونگا
🇹🇷 => 🇹🇷, ترکی
🇹🇹 => 🇹🇹, ترینیداد اور ٹوباگو
🇹🇻 => 🇹🇻, ٹووالو
🇹🇼 => 🇹🇼, تائیوان
🇹🇿 => 🇹🇿, تنزانیہ
🇺🇦 => 🇺🇦, یوکرین
🇺🇬 => 🇺🇬, یوگانڈا
🇺🇲 => 🇺🇲, امریکہ سے باہر کے چھوٹے جزائز
🇺🇸 => 🇺🇸, ریاستہائے متحدہ
🇺🇾 => 🇺🇾, یوروگوئے
🇺🇿 => 🇺🇿, ازبکستان
🇻🇦 => 🇻🇦, واٹیکن سٹی
🇻🇨 => 🇻🇨, سینٹ ونسنٹ اور گرینیڈائنز
🇻🇪 => 🇻🇪, وینزوئیلا
🇻🇬 => 🇻🇬, برٹش ورجن آئلینڈز
🇻🇮 => 🇻🇮, امریکی ورجن آئلینڈز
🇻🇳 => 🇻🇳, ویتنام
🇻🇺 => 🇻🇺, وینوآٹو
🇼🇫 => 🇼🇫, ویلیز اور فیوٹیونا
🇼🇸 => 🇼🇸, ساموآ
🇽🇰 => 🇽🇰, کوسووو
🇾🇪 => 🇾🇪, یمن
🇾🇹 => 🇾🇹, مایوٹ
🇿🇦 => 🇿🇦, جنوبی افریقہ
🇿🇲 => 🇿🇲, زامبیا
🇿🇼 => 🇿🇼, زمبابوے
🇿🇿 => 🇿🇿, نامعلوم علاقہ
