😀 => 😀, صورت؛ خنده
🔂 => 🔂, پیکان؛ تکرار؛ یک‌بار
▶ => ▶, پیکان؛ پخش؛ راست؛ مثلث
⏩ => ⏩, پیکان؛ دوگانه؛ سریع؛ جلو
⏭ => ⏭, پیکان؛ بعدی؛ صحنه بعدی؛ آهنگ بعدی؛ مثلث
⏯ => ⏯, پیکان؛ مکث؛ پخش؛ راست؛ مثلث
◀ => ◀, پیکان؛ چپ؛ برگرداندن؛ قبل؛ مثلث
⏪ => ⏪, پیکان؛ دوتایی؛ حرکت به عقب
⏮ => ⏮, پیکان؛ آهنگ قبلی؛ صحنه قبلی؛ مثلث
🔼 => 🔼, پیکان؛ دکمه؛ قرمز
⏫ => ⏫, پیکان؛ دوبل؛ دوتایی
🔽 => 🔽, پیکان؛ دکمه؛ قرمز؛ پایین
⏬ => ⏬, پیکان؛ دوبل؛ پایین
⏸ => ⏸, نوار؛ دوتایی؛ مکث؛ عمودی
⏹ => ⏹, مربع؛ توقف
⏺ => ⏺, دایره؛ ضبط
⏏ => ⏏, خروج
🎦 => 🎦, دوربین؛ فیلم؛ سینما
🔅 => 🔅, روشنایی؛ تار کردن؛ پایین
🔆 => 🔆, روشنایی؛ روشن
📶 => 📶, آنتن؛ نوار؛ تلفن همراه؛ سیگنال؛ تلفن؛ موبایل؛ گوشی
📵 => 📵, تلفن همراه؛ گوشی؛ موبایل؛ ممنوع؛ نه؛ تلفن
📳 => 📳, تلفن همراه؛ گوشی؛ موبایل؛ لرزش؛ ویبره
📴 => 📴, تلفن همراه؛ گوشی؛ موبایل؛ خاموش؛ تلفن
#⃣ => #⃣, هشتگ؛ عدد؛ پوند؛ کلید
*⃣ => *⃣, ستاره؛ کلید
0⃣ => 0⃣, صفر؛ ۰؛ کلید
1⃣ => 1⃣, یک؛ ۱؛ کلید
2⃣ => 2⃣, دو؛ ۲؛ کلید
3⃣ => 3⃣, سه؛ ۳؛ کلید
4⃣ => 4⃣, چهار؛ ۴؛ کلید
5⃣ => 5⃣, پنج؛ ۵؛ کلید
6⃣ => 6⃣, شش؛ ۶؛ کلید
7⃣ => 7⃣, هفت؛ ۷؛ کلید
8⃣ => 8⃣, هشت؛ ۸؛ کلید
9⃣ => 9⃣, نه؛ ۹؛ کلید
🔟 => 🔟, ده؛ ۱۰؛ کلید
💯 => 💯, ۱۰۰؛ کامل؛ تمام؛ صد؛ امتیاز؛ نمره
🔞 => 🔞, ۱۸؛ محدودیت سن؛ هجده؛ هجده سال؛ ممنوع؛ نه؛ خیر؛ کمتر از سن قانونی
🔠 => 🔠, ورودی؛ لاتین؛ حروف؛ بزرگ
🔡 => 🔡, ورودی؛ لاتین؛ حروف؛ الفبا؛ کوچک
🔢 => 🔢, اعداد؛ ۱۲۳۴؛ اعداد
🔣 => 🔣, ورودی
🔤 => 🔤, الفبا؛ ورودی؛ لاتین؛ حروف
🅰 => 🅰, a؛ گروه خونی
🆎 => 🆎, ab؛ گروه خونی
🅱 => 🅱, b؛ گروه خونی
🆑 => 🆑, cl؛ پاک کردن
🆒 => 🆒, باحال؛ کول؛ سرد؛ ای ول
🆓 => 🆓, رایگان؛ فیری؛ آزاد
ℹ => ℹ, اطلاعات؛ i
🆔 => 🆔, id؛ شناسه؛ کارت شناسایی
Ⓜ => Ⓜ, حلقه؛ m
🆕 => 🆕, جدید؛ نو
🆖 => 🆖, ng؛ خوب نیست
🅾 => 🅾, o؛ گروه خونی
🆗 => 🆗, ok؛ باشه؛ تأیید
🅿 => 🅿, p؛ پارکینگ
🆘 => 🆘, کمک؛ sos
🆙 => 🆙, علامت؛ up؛ بالا
🆚 => 🆚, در برابر؛ vs
🈁 => 🈁, ژاپنی؛ اینجا؛ اشاره
🈂 => 🈂, ژاپنی؛ رایگان
🈷 => 🈷, ژاپنی؛ ماه
🈶 => 🈶, ژاپنی؛ موجود
🈯 => 🈯, ژاپنی؛ اشاره
🉐 => 🉐, ژاپنی؛ مقرون‌به‌صرفه
🈹 => 🈹, ژاپنی؛ تخفیف؛ حراج
🈚 => 🈚, ژاپنی؛ تمام شده؛ در انبار نیست
🈲 => 🈲, ژاپنی؛ ممنوع
🉑 => 🉑, ژاپنی؛ قبول؛ پذیرش؛ پذیرفتن
🈸 => 🈸, ژاپنی؛ درخواست؛ پرسیدن
🈴 => 🈴, ژاپنی؛ توافق؛ توافقنامه
🈳 => 🈳, ژاپنی؛ خالی؛ در دسترس
㊗ => ㊗, ژاپنی؛ تبریک؛ شادباش
㊙ => ㊙, ژاپنی؛ راز
🈺 => 🈺, ژاپنی؛ کار؛ اقدام
🈵 => 🈵, ژاپنی؛ پر؛ غیرقابل دسترسی؛ ناموجود
▪ => ▪, شکل هندسی؛ مربع
▫ => ▫, شکل هندسی؛ مربع
◻ => ◻, شکل هندسی؛ مربع
◼ => ◼, شکل هندسی؛ مربع
◽ => ◽, شکل هندسی؛ مربع
◾ => ◾, شکل هندسی؛ مربع
⬛ => ⬛, شکل هندسی؛ مربع
⬜ => ⬜, شکل هندسی؛ مربع
🔶 => 🔶, شکل هندسی؛ لوزی؛ نارنجی
🔷 => 🔷, شکل هندسی؛ لوزی؛ آبی
🔸 => 🔸, شکل هندسی؛ لوزی؛ نارنجی
🔹 => 🔹, شکل هندسی؛ لوزی؛ آبی
🔺 => 🔺, شکل هندسی؛ مثلث؛ قرمز؛ بالا
🔻 => 🔻, شکل هندسی؛ مثلث؛ قرمز؛ پایین
💠 => 💠, مصور؛ کمیک؛ لوزی؛ شکل هندسی؛ درون؛ نقطه
🔘 => 🔘, دکمه؛ شکل هندسی؛ رادیو
🔲 => 🔲, دکمه؛ شکل هندسی؛ مربع
🔳 => 🔳, دکمه؛ شکل هندسی؛ مربع؛ توپُر
⚪ => ⚪, دایره؛ شکل هندسی
⚫ => ⚫, دایره؛ شکل هندسی
🔴 => 🔴, دایره؛ شکل هندسی؛ قرمز
🔵 => 🔵, دایره؛ شکل هندسی؛ آبی

🇦🇨 => 🇦🇨, جزایر آسنسیون
🇦🇩 => 🇦🇩, آندورا
🇦🇪 => 🇦🇪, امارات متحدهٔ عربی
🇦🇫 => 🇦🇫, افغانستان
🇦🇬 => 🇦🇬, آنتیگوا و باربودا
🇦🇮 => 🇦🇮, آنگویلا
🇦🇱 => 🇦🇱, آلبانی
🇦🇲 => 🇦🇲, ارمنستان
🇦🇴 => 🇦🇴, آنگولا
🇦🇶 => 🇦🇶, جنوبگان
🇦🇷 => 🇦🇷, آرژانتین
🇦🇸 => 🇦🇸, ساموآی امریکا
🇦🇹 => 🇦🇹, اتریش
🇦🇺 => 🇦🇺, استرالیا
🇦🇼 => 🇦🇼, آروبا
🇦🇽 => 🇦🇽, جزایر آلاند
🇦🇿 => 🇦🇿, جمهوری آذربایجان
🇧🇦 => 🇧🇦, بوسنی و هرزگوین
🇧🇧 => 🇧🇧, باربادوس
🇧🇩 => 🇧🇩, بنگلادش
🇧🇪 => 🇧🇪, بلژیک
🇧🇫 => 🇧🇫, بورکینافاسو
🇧🇬 => 🇧🇬, بلغارستان
🇧🇭 => 🇧🇭, بحرین
🇧🇮 => 🇧🇮, بوروندی
🇧🇯 => 🇧🇯, بنین
🇧🇱 => 🇧🇱, سن بارتلمی
🇧🇲 => 🇧🇲, برمودا
🇧🇳 => 🇧🇳, برونئی
🇧🇴 => 🇧🇴, بولیوی
🇧🇶 => 🇧🇶, جزایر کارائیب هلند
🇧🇷 => 🇧🇷, برزیل
🇧🇸 => 🇧🇸, باهاما
🇧🇹 => 🇧🇹, بوتان
🇧🇻 => 🇧🇻, جزیرهٔ بووه
🇧🇼 => 🇧🇼, بوتسوانا
🇧🇾 => 🇧🇾, بلاروس
🇧🇿 => 🇧🇿, بلیز
🇨🇦 => 🇨🇦, کانادا
🇨🇨 => 🇨🇨, جزایر کوکوس
🇨🇩 => 🇨🇩, کنگو - کینشاسا
🇨🇫 => 🇨🇫, جمهوری افریقای مرکزی
🇨🇬 => 🇨🇬, کنگو - برازویل
🇨🇭 => 🇨🇭, سوئیس
🇨🇮 => 🇨🇮, ساحل عاج
🇨🇰 => 🇨🇰, جزایر کوک
🇨🇱 => 🇨🇱, شیلی
🇨🇲 => 🇨🇲, کامرون
🇨🇳 => 🇨🇳, چین
🇨🇴 => 🇨🇴, کلمبیا
🇨🇵 => 🇨🇵, جزایر کلیپرتون
🇨🇷 => 🇨🇷, کاستاریکا
🇨🇺 => 🇨🇺, کوبا
🇨🇻 => 🇨🇻, کیپ‌ورد
🇨🇼 => 🇨🇼, کوراسائو
🇨🇽 => 🇨🇽, جزیرهٔ کریسمس
🇨🇾 => 🇨🇾, قبرس
🇨🇿 => 🇨🇿, جمهوری چک
🇩🇪 => 🇩🇪, آلمان
🇩🇬 => 🇩🇬, دیه‌گو گارسیا
🇩🇯 => 🇩🇯, جیبوتی
🇩🇰 => 🇩🇰, دانمارک
🇩🇲 => 🇩🇲, دومینیکا
🇩🇴 => 🇩🇴, جمهوری دومینیکن
🇩🇿 => 🇩🇿, الجزایر
🇪🇦 => 🇪🇦, سبته و ملیله
🇪🇨 => 🇪🇨, اکوادور
🇪🇪 => 🇪🇪, استونی
🇪🇬 => 🇪🇬, مصر
🇪🇭 => 🇪🇭, صحرای غربی
🇪🇷 => 🇪🇷, اریتره
🇪🇸 => 🇪🇸, اسپانیا
🇪🇹 => 🇪🇹, اتیوپی
🇪🇺 => 🇪🇺, اتحادیهٔ اروپا
🇫🇮 => 🇫🇮, فنلاند
🇫🇯 => 🇫🇯, فیجی
🇫🇰 => 🇫🇰, جزایر فالکلند
🇫🇲 => 🇫🇲, میکرونزی
🇫🇴 => 🇫🇴, جزایر فارو
🇫🇷 => 🇫🇷, فرانسه
🇬🇦 => 🇬🇦, گابن
🇬🇧 => 🇬🇧, بریتانیا
🇬🇩 => 🇬🇩, گرنادا
🇬🇪 => 🇬🇪, گرجستان
🇬🇫 => 🇬🇫, گویان فرانسه
🇬🇬 => 🇬🇬, گرنزی
🇬🇭 => 🇬🇭, غنا
🇬🇮 => 🇬🇮, جبل‌الطارق
🇬🇱 => 🇬🇱, گرینلند
🇬🇲 => 🇬🇲, گامبیا
🇬🇳 => 🇬🇳, گینه
🇬🇵 => 🇬🇵, گوادلوپ
🇬🇶 => 🇬🇶, گینهٔ استوایی
🇬🇷 => 🇬🇷, یونان
🇬🇸 => 🇬🇸, جورجیای جنوبی و جزایر ساندویچ جنوبی
🇬🇹 => 🇬🇹, گواتمالا
🇬🇺 => 🇬🇺, گوام
🇬🇼 => 🇬🇼, گینهٔ بیسائو
🇬🇾 => 🇬🇾, گویان
🇭🇰 => 🇭🇰, هنگ‌کنگ، ناحیهٔ ویژهٔ حکومتی چین
🇭🇲 => 🇭🇲, جزیرهٔ هرد و جزایر مک‌دونالد
🇭🇳 => 🇭🇳, هندوراس
🇭🇷 => 🇭🇷, کرواسی
🇭🇹 => 🇭🇹, هائیتی
🇭🇺 => 🇭🇺, مجارستان
🇮🇨 => 🇮🇨, جزایر قناری
🇮🇩 => 🇮🇩, اندونزی
🇮🇪 => 🇮🇪, ایرلند
🇮🇱 => 🇮🇱, اسرائیل
🇮🇲 => 🇮🇲, جزیرهٔ من
🇮🇳 => 🇮🇳, هند
🇮🇴 => 🇮🇴, قلمرو بریتانیا در اقیانوس هند
🇮🇶 => 🇮🇶, عراق
🇮🇷 => 🇮🇷, ایران
🇮🇸 => 🇮🇸, ایسلند
🇮🇹 => 🇮🇹, ایتالیا
🇯🇪 => 🇯🇪, جرزی
🇯🇲 => 🇯🇲, جامائیکا
🇯🇴 => 🇯🇴, اردن
🇯🇵 => 🇯🇵, ژاپن
🇰🇪 => 🇰🇪, کنیا
🇰🇬 => 🇰🇬, قرقیزستان
🇰🇭 => 🇰🇭, کامبوج
🇰🇮 => 🇰🇮, کیریباتی
🇰🇲 => 🇰🇲, کومورو
🇰🇳 => 🇰🇳, سنت کیتس و نویس
🇰🇵 => 🇰🇵, کرهٔ شمالی
🇰🇷 => 🇰🇷, کرهٔ جنوبی
🇰🇼 => 🇰🇼, کویت
🇰🇾 => 🇰🇾, جزایر کِیمن
🇰🇿 => 🇰🇿, قزاقستان
🇱🇦 => 🇱🇦, لائوس
🇱🇧 => 🇱🇧, لبنان
🇱🇨 => 🇱🇨, سنت لوسیا
🇱🇮 => 🇱🇮, لیختن‌اشتاین
🇱🇰 => 🇱🇰, سری‌لانکا
🇱🇷 => 🇱🇷, لیبریا
🇱🇸 => 🇱🇸, لسوتو
🇱🇹 => 🇱🇹, لیتوانی
🇱🇺 => 🇱🇺, لوکزامبورگ
🇱🇻 => 🇱🇻, لتونی
🇱🇾 => 🇱🇾, لیبی
🇲🇦 => 🇲🇦, مراکش
🇲🇨 => 🇲🇨, موناکو
🇲🇩 => 🇲🇩, مولداوی
🇲🇪 => 🇲🇪, مونته‌نگرو
🇲🇫 => 🇲🇫, سنت مارتین
🇲🇬 => 🇲🇬, ماداگاسکار
🇲🇭 => 🇲🇭, جزایر مارشال
🇲🇰 => 🇲🇰, مقدونیه
🇲🇱 => 🇲🇱, مالی
🇲🇲 => 🇲🇲, میانمار (برمه)
🇲🇳 => 🇲🇳, مغولستان
🇲🇴 => 🇲🇴, ماکائو، ناحیهٔ ویژهٔ حکومتی چین
🇲🇵 => 🇲🇵, جزایر ماریانای شمالی
🇲🇶 => 🇲🇶, مارتینیک
🇲🇷 => 🇲🇷, موریتانی
🇲🇸 => 🇲🇸, مونت‌سرات
🇲🇹 => 🇲🇹, مالت
🇲🇺 => 🇲🇺, موریس
🇲🇻 => 🇲🇻, مالدیو
🇲🇼 => 🇲🇼, مالاوی
🇲🇽 => 🇲🇽, مکزیک
🇲🇾 => 🇲🇾, مالزی
🇲🇿 => 🇲🇿, موزامبیک
🇳🇦 => 🇳🇦, نامیبیا
🇳🇨 => 🇳🇨, کالدونیای جدید
🇳🇪 => 🇳🇪, نیجر
🇳🇫 => 🇳🇫, جزیرهٔ نورفولک
🇳🇬 => 🇳🇬, نیجریه
🇳🇮 => 🇳🇮, نیکاراگوئه
🇳🇱 => 🇳🇱, هلند
🇳🇴 => 🇳🇴, نروژ
🇳🇵 => 🇳🇵, نپال
🇳🇷 => 🇳🇷, نائورو
🇳🇺 => 🇳🇺, نیوئه
🇳🇿 => 🇳🇿, نیوزیلند
🇴🇲 => 🇴🇲, عمان
🇵🇦 => 🇵🇦, پاناما
🇵🇪 => 🇵🇪, پرو
🇵🇫 => 🇵🇫, پلی‌نزی فرانسه
🇵🇬 => 🇵🇬, پاپوا گینهٔ نو
🇵🇭 => 🇵🇭, فیلیپین
🇵🇰 => 🇵🇰, پاکستان
🇵🇱 => 🇵🇱, لهستان
🇵🇲 => 🇵🇲, سن پیر و میکلن
🇵🇳 => 🇵🇳, جزایر پیت‌کرن
🇵🇷 => 🇵🇷, پورتوریکو
🇵🇸 => 🇵🇸, سرزمین‌های فلسطینی
🇵🇹 => 🇵🇹, پرتغال
🇵🇼 => 🇵🇼, پالائو
🇵🇾 => 🇵🇾, پاراگوئه
🇶🇦 => 🇶🇦, قطر
🇶🇴 => 🇶🇴, بخش‌های دورافتادهٔ اقیانوسیه
🇷🇪 => 🇷🇪, رئونیون
🇷🇴 => 🇷🇴, رومانی
🇷🇸 => 🇷🇸, صربستان
🇷🇺 => 🇷🇺, روسیه
🇷🇼 => 🇷🇼, رواندا
🇸🇦 => 🇸🇦, عربستان سعودی
🇸🇧 => 🇸🇧, جزایر سلیمان
🇸🇨 => 🇸🇨, سیشل
🇸🇩 => 🇸🇩, سودان
🇸🇪 => 🇸🇪, سوئد
🇸🇬 => 🇸🇬, سنگاپور
🇸🇭 => 🇸🇭, سنت هلن
🇸🇮 => 🇸🇮, اسلوونی
🇸🇯 => 🇸🇯, اسوالبارد و جان‌ماین
🇸🇰 => 🇸🇰, اسلواکی
🇸🇱 => 🇸🇱, سیرالئون
🇸🇲 => 🇸🇲, سان‌مارینو
🇸🇳 => 🇸🇳, سنگال
🇸🇴 => 🇸🇴, سومالی
🇸🇷 => 🇸🇷, سورینام
🇸🇸 => 🇸🇸, سودان جنوبی
🇸🇹 => 🇸🇹, پرینسیپ و سائوتومه
🇸🇻 => 🇸🇻, السالوادور
🇸🇽 => 🇸🇽, سنت مارتن
🇸🇾 => 🇸🇾, سوریه
🇸🇿 => 🇸🇿, سوازیلند
🇹🇦 => 🇹🇦, تریستان دا کونا
🇹🇨 => 🇹🇨, جزایر تورکس و کایکوس
🇹🇩 => 🇹🇩, چاد
🇹🇫 => 🇹🇫, قلمروهای جنوبی فرانسه
🇹🇬 => 🇹🇬, توگو
🇹🇭 => 🇹🇭, تایلند
🇹🇯 => 🇹🇯, تاجیکستان
🇹🇰 => 🇹🇰, توکلائو
🇹🇱 => 🇹🇱, تیمور-لسته
🇹🇲 => 🇹🇲, ترکمنستان
🇹🇳 => 🇹🇳, تونس
🇹🇴 => 🇹🇴, تونگا
🇹🇷 => 🇹🇷, ترکیه
🇹🇹 => 🇹🇹, ترینیداد و توباگو
🇹🇻 => 🇹🇻, تووالو
🇹🇼 => 🇹🇼, تایوان
🇹🇿 => 🇹🇿, تانزانیا
🇺🇦 => 🇺🇦, اوکراین
🇺🇬 => 🇺🇬, اوگاندا
🇺🇲 => 🇺🇲, جزایر دورافتادهٔ ایالات متحده
🇺🇸 => 🇺🇸, ایالات متحده
🇺🇾 => 🇺🇾, اروگوئه
🇺🇿 => 🇺🇿, ازبکستان
🇻🇦 => 🇻🇦, واتیکان
🇻🇨 => 🇻🇨, سنت وینسنت و گرنادین‌ها
🇻🇪 => 🇻🇪, ونزوئلا
🇻🇬 => 🇻🇬, جزایر ویرجین بریتانیا
🇻🇮 => 🇻🇮, جزایر ویرجین ایالات متحده
🇻🇳 => 🇻🇳, ویتنام
🇻🇺 => 🇻🇺, وانواتو
🇼🇫 => 🇼🇫, والیس و فوتونا
🇼🇸 => 🇼🇸, ساموآ
🇽🇰 => 🇽🇰, کوزوو
🇾🇪 => 🇾🇪, یمن
🇾🇹 => 🇾🇹, مایوت
🇿🇦 => 🇿🇦, افریقای جنوبی
🇿🇲 => 🇿🇲, زامبیا
🇿🇼 => 🇿🇼, زیمبابوه
🇿🇿 => 🇿🇿, ناحیهٔ نامشخص
