😀 => 😀, ပြုံးဖြဲဖြဲ၊ မျက်နှာ
💴 => 💴, ဘဏ်၊ ယန်း၊ ငွေစက္ကူ၊ ငွေတောင်းခံလွှာ၊ ငွေကြေး၊ ငွေ၊ မှတ်စု
💵 => 💵, ဒေါ်လာ၊ ဘဏ်၊ ငွေစက္ကူ၊ ငွေတောင်းခံလွှာ၊ ငွေကြေး၊ ငွေ၊ မှတ်စု
💶 => 💶, ယူရို၊ ဘဏ်၊ ငွေစက္ကူ၊ ငွေတောင်းခံလွှာ၊ ငွေကြေး၊ ငွေ၊ မှတ်စု
💷 => 💷, ပေါင်၊ ငွေစက္ကူ၊ ဘဏ်၊ ငွေတောင်းခံလွှာ၊ ငွေကြေး၊ ငွေ၊ မှတ်စု
💸 => 💸, ဘဏ်၊ ငွေစက္ကူ၊ ငွေတောင်းခံလွှာ၊ ဒေါ်လာ၊ ပျံ၊ ငွေ၊ မှတ်စု၊ အတောင်
💳 => 💳, ဘဏ်၊ ကဒ်၊ ခရက်တစ်၊ ငွေ
💹 => 💹, ဘဏ်၊ ဇယားပုံ၊ ငွေကြေး၊ ဂရပ်ပုံ၊ မြင့်တက်မှု၊ ဈေးကွက်၊ ငွေ၊ တက်၊ ဦးတည်ချက်၊ အပေါ်သို့၊ ယန်း
✉ => ✉, အီး−မေးလ်၊ အီးမေးလ်
📧 => 📧, အီးမေးလ်၊ စာ၊ မေးလ်
📨 => 📨, အီး−မေးလ်၊ အီးမေးလ်၊ စာအိတ်၊ အ၀င်၊ စာ၊ မေးလ်၊ လက်ခံ
📩 => 📩, အီး−မေးလ်၊ အီးမေးလ်၊ စာအိတ်၊ အထွက်၊ စာ၊ မေးလ်၊ ပို့ခဲ့
📤 => 📤, ပုံး၊ စာ၊ မေးလ်၊ ထွက်စာ၊ ပို့ခဲ့၊ ဗန်း
📥 => 📥, ပုံး၊ ၀င်စာ၊ စာ၊ မေးလ်၊ လက်ခံ၊ ဗန်း
📦 => 📦, သေတ္တာ၊ ပါဆယ်
📫 => 📫, ပိတ်ထား၊ မေးလ်၊ စာတိုက်ပုံး၊ စာတိုက်သေတ္တာ
📪 => 📪, ပိတ်ထား၊ အလံချထား၊ မေးလ်၊ စာတိုက်ပုံး၊ စာတိုက်သေတ္တာ
📬 => 📬, မေးလ်၊ စာတိုက်ပုံး၊ ဖွင့်၊ စာတိုက်သေတ္တာ
📭 => 📭, အလံချထား၊ မေးလ်၊ စာတိုက်ပုံး၊ ဖွင့်၊စာတိုက်သေတ္တာ
📮 => 📮, မေးလ်၊ စာတိုက်ပုံး
🗳 => 🗳, မဲ၊ ပုံး
✒ => ✒, ကလ​ောင်သွား၊ ကလောင်တံ
🖋 => 🖋, ဖောင်တိန်၊ ကလောင်တံ
🖊 => 🖊, ဘောပွိုင့်
🖌 => 🖌, ဆေးချယ်
🖍 => 🖍, ရောင်စုံခဲတံ
📝 => 📝, ခဲတံ
📁 => 📁, ဖိုင်၊ အတွဲ
📂 => 📂, ဖွင့်၊ ဖိုင်၊ အတွဲ
🗂 => 🗂, ကဒ်၊ ခြားပေး၊ အညွှန်း
📅 => 📅, ရက်စွဲ
📆 => 📆, ပြက္ခဒိန်
🗒 => 🗒, မှတ်စု၊ စာအုပ်၊ လှည့်
🗓 => 🗓, ပြက္ခဒိန်၊ စာအုပ်၊ လှည့်
📇 => 📇, ကဒ်၊ အညွှန်း၊ ရိုလိုဒက်စ်
📈 => 📈, ဇယားပုံ၊ ဂရပ်ပုံ၊ မြင့်တက်မှု၊ ဦးတည်ချက်၊ အပေါ်သို့
📉 => 📉, ဇယားပုံ၊ အောက်သို့၊ ဂရပ်ပုံ၊  ဦးတည်ချက်
📊 => 📊, ဘား၊ ဇယားပုံ၊ ဂရပ်ပုံ
📍 => 📍, အပ်၊ ဖိအပ်
🖇 => 🖇, ချိတ်၊ စက္ကူညှပ်များ
📏 => 📏, ပေတံ၊ ဖြောင့်နေသည့် အနား
📐 => 📐, ပေတံ၊ ထောင့်မှန်၊ အစုံ
✂ => ✂, ကိရိယာ
🗃 => 🗃, ကဒ်၊ ဖိုင်၊ သေတ္တာ
🗄 => 🗄, ဖိုင်၊ အံဆွဲ
🔒 => 🔒, ပိတ်ထား
🔓 => 🔓, သော့ခလောက်၊ ဖွင့်၊ သော့ဖွင့်
🔏 => 🔏, မင်၊ သော့ခလောက်၊ နစ်၊ ကလောင်တံ၊ ကိုယ်ရေးကိုယ်တာ
🔐 => 🔐, ပိတ်ထား၊ သော့၊ သော့ခလောက်၊ လုံခြုံစေပါ
🔑 => 🔑, သော့ခလောက်၊ စကားဝှက်
🗝 => 🗝, သဲလွန်စ၊ သော့၊ သော့ခလောက်၊ အဟောင်း
🔨 => 🔨, ကိရိယာ
⛏ => ⛏, တူးဖေါ်ရေး ကိရိယာ
⚒ => ⚒, တူ၊ ပေါက်ချွန်း၊ ကိရိယာ
🛠 => 🛠, တူ၊ ကိရိယာ၊ ခွ
🔧 => 🔧, ကိရိယာ
🔩 => 🔩, မူလီ၊ မူလီခေါင်း၊ ကိရိယာ
⚙ => ⚙, ကိရိယာ
🗜 => 🗜, ကိရိယာ၊ ပြုတ်တူ
⚗ => ⚗, ဓာတုဗေဒ၊ ကိရိယာ
⚖ => ⚖, ချိန်ခွင်၊ ညီမျှရေး၊ ချိန်ခွင်ကိုင်ထားသူ၊ ကိရိယာ၊ အလေးချိန်၊ ဆယ့်နှစ်ရာသီခွင်
💉 => 💉, ဆေးကု၊ ဆရာဝန်၊ အပ်၊ ထိုး၊ ကိရိယာ၊ ဖျားနာ
💊 => 💊, ဆေးကု၊ ဆရာဝန်၊ ဖျားနာ
🗡 => 🗡, ဓား၊ လက်နက်
🔪 => 🔪, ချက်ပြုတ်မှု၊ ဓား၊ ကိရိယာ၊ လက်နက်
🔫 => 🔫, သေနတ်၊ ခြောက်လုံးပြူး၊ လက်နက်၊ ကိရိယာ
🛡 => 🛡, လက်နက်
🏹 => 🏹, လေး၊ မြား၊ ဓနု၊ ကိရိယာ၊ လက်နက်၊ ဆယ့်နှစ်ရာသီခွင်
🏁 => 🏁, အကွက်ဆင်၊ ပြိုင်ပွဲ၊ အလံ
🏳 => 🏳, ဝှေ့ယမ်းနေ
🏴 => 🏴, ဝှေ့ယမ်းနေ
🚩 => 🚩, စာတိုက်
🚬 => 🚬, မီးခို၊ သောက်
⚱ => ⚱, သေခြင်း၊ အရိုးအိုး
🗿 => 🗿, moai၊ မျက်နှာ၊ အထိမ်းအမှတ်
🛢 => 🛢, ဆီ၊ စည်ပိုင်း
🔮 => 🔮, ကသိုဏ်း၊ ဖန်လုံး၊ ပုံပြင်၊ စိတ်ကူးယဥ်၊ ကံ၊ ကိရိယာ
🏧 => 🏧, ATM၊ အလိုအလျောက်၊ ဘဏ်၊ ငွေထုတ်စက်
🚮 => 🚮, အမှိုက်၊ အမှိုက်ပုံး
🚰 => 🚰, သောက်၊ သောက်ရေ၊ ရေ
♿ => ♿, သုံးနိုင်
🚹 => 🚹, အိမ်သာ၊ အမျိုးသား၊ ရေအိမ်၊  wc
🚺 => 🚺, အိမ်သာ၊ အမျိုးသမီး၊ ရေအိမ်၊  wc
🚻 => 🚻, ရေအိမ်၊  wc
🚼 => 🚼, ကလေး၊ လဲရန်
🚾 => 🚾, ရေအိမ်၊ အိမ်သာ၊ ရေ၊ w
🛂 => 🛂, နိုင်ငံကူးလက်မှတ်၊  စစ်ဆေး
🛄 => 🛄, အထုပ်အပိုး၊ ပြန်ရယူ
🛅 => 🛅, အထုပ်အပိုး၊ ခေတ္တအပ်နှံထား:ရာဌာန၊ ၀န်စည်များ
🚸 => 🚸, ကလေး၊ လမ်းဆုံ၊ ခြေကျင်၊ ယာဥ်သွားလာမှု
⛔ => ⛔, အဝင်၊ တားမြစ်၊ မလုပ်ရ၊ မရှိ၊ ခွင့်မပြု၊ ယာဥ်သွားလာမှု
🚫 => 🚫, အဝင်၊ တားမြစ်၊ မလုပ်ရ၊ မရှိ
🚳 => 🚳, စက်ဘီး၊ တားမြစ်၊ မစီးရ၊ မလုပ်ရ၊ ခွင့်မပြု၊ ယာဥ်
🚭 => 🚭, တားမြစ်၊ မလုပ်ရ၊ ခွင့်မပြု၊ စီးကရက် သောက်
🚯 => 🚯, တားမြစ်၊ အမှိုက်၊ မပစ်ရ၊ ခွင့်မပြု
🚱 => 🚱, သောက်၊ တားမြစ်၊ မဟုတ်၊ သောက်ရေ၊ ခွင့်မပြု၊ ရေ
🚷 => 🚷, တားမြစ်၊ ခြေကျင်၊ မလျှောက်ရ၊ ခွင့်မပြု
⬆ => ⬆, မြား၊ အရေးကြီးဆုံး၊ လမ်းညွှန်၊ မြောက်
↗ => ↗, မြား၊ ဌာနတွင်း အရေးကြီးဆုံး၊ လမ်းညွှန်၊ အရှေ့မြောက်
➡ => ➡, မြား၊ အရေးကြီးဆုံး၊ လမ်းညွှန်၊ အရှေ့
↘ => ↘, မြား၊ ဌာနတွင်း အရေးကြီးဆုံး၊ အရှေ့တောင်
⬇ => ⬇, မြား၊ အရေးကြီးဆုံး၊ လမ်းညွှန်၊ အောက်သို့၊ တောင်
↙ => ↙, မြား၊ ဌာနတွင်း အရေးကြီးဆုံး၊ လမ်းညွှန်၊ အနောက်တောင်
⬅ => ⬅, မြား၊ အရေးကြီးဆုံး၊ လမ်းညွှန်၊ အနောက်
↖ => ↖, မြား၊ ဌာနတွင်း အရေးကြီးဆုံး၊ လမ်းညွှန်၊ အနောက်မြောက်
↕ => ↕, မြား
↔ => ↔, မြား
↩ => ↩, မြား
↪ => ↪, မြား
⤴ => ⤴, မြား
⤵ => ⤵, အောက်သို့၊ မြား
🔃 => 🔃, ညာရစ်၊ မြား၊ ပြန်တင်
🔄 => 🔄, လက်ဝဲရစ်၊ မြား၊  လက်ဝဲပတ်၊ နေနှင့်ဆန့်ျကျင်လျက်
🔙 => 🔙, နောက်သို့၊ မြား
🔛 => 🔛, မြား၊ အမှတ်၊ ဖွင့်ထား
🔜 => 🔜, မကြာမီ၊ မြား
🔝 => 🔝, ထိပ်၊ မြား၊ အပေါ်သို့
🛐 => 🛐, ဘာသာရေး၊ ရှိခိုးရာ
⚛ => ⚛, အဏုမြူ၊ ဘုရားမဲ့ဝါဒီ
🕉 => 🕉, ဟင်ဒူ၊ ဘာသာရေး
✡ => ✡, ဒေးဗစ်၊ ဂျူး၊ ဂျူးလူမျိုး၊ ဘာသာရေး၊ ကြယ်
☸ => ☸, ဗုဒ္ဓဝါဒီ၊ ဓမ္မ၊ ဘာသာရေး၊ စကြာ
☯ => ☯, ဘာသာရေ:၊ တာအို၊ တာအိုဝါဒီ၊ ယန်း၊ ယင်
✝ => ✝, ခရစ်ယာန်၊ ကားတိုင်၊ ဘာသာရေး
☦ => ☦, ခရစ်ယာန်၊ ကားတိုင်၊ ဘာသာရေး
☪ => ☪, အစ္စလာမ်၊ မူဆလင်၊ ဘာသာရေး
☮ => ☮, ငြိမ်းချမ်းရေး္
🕎 => 🕎, ဖယောင်းတိုင်စင်၊ ဘာသာရေး
🔯 => 🔯, ကံ၊ ကြယ်
♻ => ♻, ထပ်တလဲလဲသုံး
📛 => 📛, အမည်၊ တံဆိပ်
⚜ => ⚜, နှင်းပန်း
🔰 => 🔰, စသင်သူ၊ အစိမ်း၊ ဂျပန်၊ အရွက်၊ ကိရိယာ၊ အဝါ
🔱 => 🔱, ကျောက်ဆူး၊ တြိဒဏ္ဍ၊ တံဆိပ်၊ သင်​္ဘော၊ ကိရိယာ
⭕ => ⭕, စက်၀န်း၊ o
✅ => ✅, ခြစ်မှတ်၊ အမှတ်
☑ => ☑, ခြစ်ထား၊ မဲပုံး
✔ => ✔, ခြစ်မှတ်၊ အမှတ်
✖ => ✖, ဖျက်သိမ်း၊ အမြှောက်၊ မြှောက်ပါ x
❌ => ❌, ဖျက်သိမ်း၊ အမှတ်၊ အမြှောက်၊ မြှောက်ပါ၊ x
❎ => ❎, အမှတ်၊ လေ​းထောင့်ကွက်
➕ => ➕, သင်ချာ၊ အပေါင်း
➖ => ➖, သင်ချာ၊ အနှုတ်
➗ => ➗, သင်ချာ၊ အစား
➰ => ➰, လိမ်၊ အကွင်း
➿ => ➿, လိမ်၊ အကွင်း နှစ်ထပ်ကွမ်း
〽 => 〽, ပစ္စည်း၊ အမှတ်
✳ => ✳, ခရစ်ပွင့်
✴ => ✴, ကြယ်
❇ => ❇, ဝင်းလက်
💱 => 💱, ဘဏ်၊ ငွေကြေး၊ လဲလှယ်ခြင်း၊ ငွေ
💲 => 💲, နိုင်ငံခြားငွေကြေး၊ ဒေါ်လာ၊ ငွေ္
‼ => ‼, ဘန်းဘန်း၊ အာမေဍိတ်၊ သင်​္ကေတ၊ ပုဒ်ဖြတ်ပုဒ်ရပ်
⁉ => ⁉, အာမေဍိတ်၊ သင်​္ကေတ၊ ပုဒ်ဖြတ်ပုဒ်ရပ်၊ မေးခွန်း၊ အမှတ်
❓ => ❓, ပုဒ်ဖြတ်ပုဒ်ရပ်၊ မေးခွန်း၊ အမှတ်
❔ => ❔, မေးခွန်း၊ ပုဒ်ဖြတ်ပုဒ်ရပ်၊ မှတ်ပေးထား၊ အမှတ်
❕ => ❕, အာမေဍိတ်၊ ပုဒ်ဖြတ်ပုဒ်ရပ်၊ မှတ်ပေးထား၊ အမှတ်
❗ => ❗, အာမေဍိတ်၊ ပုဒ်ဖြတ်ပုဒ်ရပ်၊ အမှတ်
〰 => 〰, မျဥ်းရှည်၊ ပုဒ်ဖြတ်ပုဒ်ရပ်၊ လှိူင်းထ
™ => ™, ကုန် အမှတ်တံဆိပ်၊ tm၊ တံဆိပ်
♈ => ♈, မိဿာ၊ ဆယ့်နှစ်ရာသီခွင်
♉ => ♉, ပြိဿာ၊ နွားထီး၊ ဆယ့်နှစ်ရာသီခွင်
♊ => ♊, မေထုန်၊ ဆယ့်နှစ်ရာသီခွင်
♋ => ♋, ကရကဍ်၊ ဆယ့်နှစ်ရာသီခွင်
♌ => ♌, သိဟ်၊ ဆယ့်နှစ်ရာသီခွင်
♍ => ♍, ကန်၊ ဆယ့်နှစ်ရာသီခွင်
♎ => ♎, တူ၊ ဆယ့်နှစ်ရာသီခွင်
♏ => ♏, ဗြိစ္ဆာ၊ ဆယ့်နှစ်ရာသီခွင်
♐ => ♐, ဓနု၊ ဆယ့်နှစ်ရာသီခွင်
♑ => ♑, ၊ ဆယ့်နှစ်ရာသီခွင်
♒ => ♒, ကုံ၊ ဆယ့်နှစ်ရာသီခွင်
♓ => ♓, ၊ ဆယ့်နှစ်ရာသီခွင်
⛎ => ⛎, ophiuchus၊ မြွေ၊ ဆယ့်နှစ်ရာသီခွင်
🔀 => 🔀, မြား၊ ကြက်ခြေခတ်ထား
🔁 => 🔁, မြား၊ လက်ယာရစ်၊ ထပ်ဖွင့်
🔂 => 🔂, မြား၊ လက်ယာရစ်၊ တစ်ကြိမ်
▶ => ▶, မြား၊ ဖွင့်၊ ညာ၊ တြိဂံ
⏩ => ⏩, မြား၊ နှစ်ထပ်ကွမ်း၊ အမြန်၊ ရှေ့သို့
⏭ => ⏭, မြား၊ နောက်ဇာတ်ကွက်၊ နောက် သီချင်း၊ တြိဂံ
⏯ => ⏯, မြား၊ ဆိုင်းငံ့၊ ဖွင့်၊ ညာ၊ တြိဂံ
◀ => ◀, မြား၊ ဘယ်၊ ပြန်သွား၊ တြိဂံ
⏪ => ⏪, မြား၊ နှစ်ထပ်၊ ပြန်ရစ်
⏮ => ⏮, မြား၊ အရင်ဇာတ်ကွက်၊ အရင်သီချင်း၊ တြိဂံ
🔼 => 🔼, မြား၊ ခလုတ်၊ နီ
⏫ => ⏫, မြား၊ နှစ်ထပ်
🔽 => 🔽, မြား၊ ခလုတ်၊ အောက်သို့၊ နီ
⏬ => ⏬, မြား၊ နှစ်ထပ်၊ အောက်သို့
⏸ => ⏸, ဘား၊ နှစ်ထပ်၊ ဆိုင်းငံ့၊ ​ဒေါင်လိုက်
⏹ => ⏹, လေးထောင့်ကွက်၊ ရပ်
⏺ => ⏺, စက်ဝိုင်း၊ ဖမ်းယူ
⏏ => ⏏, ထုတ်ယူ
🎦 => 🎦, ရုပ်ရှင်၊ ကင်မရာ၊ ဖလင်
🔅 => 🔅, တောက်ပမှု၊ မှိန်၊ နိမ့်
🔆 => 🔆, တောက်ပ၊ တောက်ပမှု
📶 => 📶, ဧရီယာတိုင်၊ ဘား၊ ဆဲလ်၊ မိုဘိုင်း၊ ဖုန်း၊ အချက်ပြမှု၊ တယ်လီဖုန်း
📵 => 📵, ဆဲလ်၊ တားမြစ်၊ မိုဘိုင်း၊ မသုံးရ၊ မရ၊ ဖုန်း၊ ခွင့်မပြု၊ တယ်လီဖုန်း
📳 => 📳, ဆလ်၊ မိုဘိုင်း၊ မုဒ်၊ ဖုန်း၊ တယ်လီဖုန်မး၊ တုန်ခါမှု
📴 => 📴, ဆဲလ်၊ မိုဘိုင်း၊ ပိတ်၊ ဖုန်း ၊ တယ်လီဖုန်း
#⃣ => #⃣, ဂဏန်း၊ ကီးခလုတ်၊ ပေါင်
*⃣ => *⃣, ခရေပွင့်၊ ကီးခလုတ်၊ ကြယ်
0⃣ => 0⃣, ၀၊ ကီးခလုတ်၊ သုည
1⃣ => 1⃣, ၁၊ ကီးခလုတ်၊ တစ်
2⃣ => 2⃣, ၂ ၊ ကီးခလုတ်၊ နှစ်
3⃣ => 3⃣, ၃၊ ကီးခလုတ်၊ သုံး
4⃣ => 4⃣, ၄၊ ကီးခလုတ်၊ လေး
5⃣ => 5⃣, ၅၊ ကီးခလုတ်၊ ငါး
6⃣ => 6⃣, ၆၊ ကီးခလုတ်၊ ခြောက်
7⃣ => 7⃣, ၇၊ ကီးခလုတ်၊ ခုနစ်
8⃣ => 8⃣, ၈၊ ကီးခလုတ်၊ ရှစ်
9⃣ => 9⃣, ၉၊ ကီးခလုတ်၊ ကိုး
🔟 => 🔟, ၁၀၊ ကီးခလုတ်၊ တစ်ဆယ်
💯 => 💯, ၁၀၀၊ အပြည့်၊ တစ်ရာ၊ ရမှတ်
🔞 => 🔞, ၁၈၊ အသက် ကန့်သတ်ချက်၊ ဆယ့်ရှစ်၊ တားမြစ်၊ မလုပ်ရ။ မရ၊ တားမြစ်၊ အသက်မပြည့်
🔠 => 🔠, ထည့်သွင်းမှု၊ လက်တင်၊ စာလုံးများ၊ အကြီး
🔡 => 🔡, abcd၊ ထည့်သွင်းမှု၊ လက်တင်၊ စာလံဒးများ၊ အသေး
🔢 => 🔢, ၁၂၃၄၊ ထည့်သွင်းမှု၊ ဂဏန်းများ
🔣 => 🔣, ထည့်သွင်းရန်
🔤 => 🔤, abc၊ အက္ခရာများ၊ ထည့်သွင်းမှု၊ လက်တင်၊ စာလုံးများ
🅰 => 🅰, a၊ သွေး
🆎 => 🆎, ab၊ သွေး
🅱 => 🅱, b၊ သွေး
🆑 => 🆑, cl
🆒 => 🆒, cool
🆓 => 🆓, free
ℹ => ℹ, i, အချက်အလက်များ
🆔 => 🆔, id၊ သက်သေခံ
Ⓜ => Ⓜ, စက်ဝိုင်း၊ m
🆕 => 🆕, အသစ်
🆖 => 🆖, ng
🅾 => 🅾, o၊ သွေး
🆗 => 🆗, ok
🅿 => 🅿, ကားထားရုံ p
🆘 => 🆘, ကူညီပါ၊ sos
🆙 => 🆙, အမှတ်၊ အပေါ်သို့
🆚 => 🆚, vs၊ နှင့်
🈁 => 🈁, ဂျပန်ဘာသာစကား
🈂 => 🈂, ဂျပန် ဘာသာစကား
🈷 => 🈷, ဂျပန် ဘာသာစကား
🈶 => 🈶, ဂျပန် ဘာသာစကား
🈯 => 🈯, ဂျပန် ဘာသာစကား
🉐 => 🉐, ဂျပန် ဘာသာစကား
🈹 => 🈹, ဂျပန် ဘာသာစကား
🈚 => 🈚, ဂျပန် ဘာသာစကား
🈲 => 🈲, ဂျပန် ဘာသာစကား
🉑 => 🉑, တရုတ် ဘာသာစကား
🈸 => 🈸, တရုတ် ဘာသာစကား
🈴 => 🈴, တရုတ် ဘာသာစကား
🈳 => 🈳, တရုတ် ဘာသာစကား
㊗ => ㊗, တရုတ် ဘာသာစကား၊ စီဖွဲ့မှု၊ ဂုဏ်ပြုစကား၊ အရုပ်စာ
㊙ => ㊙, တရုတ် ဘာသာစကား၊ လျှို့ဝှက်မှု၊ အရုပ်စာ
🈺 => 🈺, တရုတ် ဘာသာစကား
🈵 => 🈵, တရုတ် ဘာသာစကား
▪ => ▪, ဂျီဩမေတြီ၊ လေထောင့်ကွက်
▫ => ▫, ဂျီဩမေတြီ၊ လေထောင့်ကွက်
◻ => ◻, ဂျီဩမေတြီ၊ လေးထောင့်ကွက်
◼ => ◼, ဂျီဩမေတြီ၊ လေးထောင့်ကွက်
◽ => ◽, ဂျီဩမေတြီ၊ လေးထောင့်ကွက်
◾ => ◾, ဂျီဩမေတြီ၊ လေးထောင့်ကွက်
⬛ => ⬛, ဂျီဩမေတြီ၊ လေးထောင့်ကွက်
⬜ => ⬜, ဂျီဩမေတြီ၊ လေးထောင့်ကွက်
🔶 => 🔶, ဂျီဩမေတြီ၊ စိန်၊ လိမ္မော်
🔷 => 🔷, ဂျီဩမေတြီ၊ စိန်၊ အပြာ
🔸 => 🔸, ဂျီဩမေတြီ၊ စိန်၊ လိမ္မော်
🔹 => 🔹, ဂျီဩမေတြီ၊ စိန်၊ အပြာ
🔺 => 🔺, ဂျီဩမေတြီ၊ နီ
🔻 => 🔻, အောက်သို့၊ ဂျီဩမေတြီ၊ စိန်၊ အတွင်းပိုင်း
💠 => 💠, ဟာသ၊ စိန်၊ ဂျီဩမေတြီ၊ အတွင်းပိုင်း
🔘 => 🔘, ရေဒီယို၊ ဂျီဩမေတြီ၊ ခလုတ်
🔲 => 🔲, ဂျီဩမေတြီ၊ လေးထောင့်၊ ခလုတ်
🔳 => 🔳, လေးထောင့်ကွက်၊ ခလုတ်၊ မှတ်ပေးထား၊ ဂျီဩမေတြီ
⚪ => ⚪, စက်ဝိုင်း၊ ဂျီဩမေတြီ
⚫ => ⚫, စက်ဝိုင်း၊ ဂျီဩမေတြီ
🔴 => 🔴, စက်ဝိုင်း၊ ဂျီဩမေတြီ၊ နီ
