🏻 => 🏻, faʻahinga 1–2, hinehina, kili
🏼 => 🏼, faʻahinga 3, kelokelo, kili
🏽 => 🏽, faʻahinga 4, kili, melomelo
🏾 => 🏾, faʻahinga 5, ʻuliʻuli, kili, kili melomelo-ʻuliʻuli, melomelo
🏿 => 🏿, faʻahinga 6, ʻuliʻuli, kili
♪ => ♪, nota vaevalu, tuʻungafasi
♭ => ♭, falati, tuʻungafasi
♯ => ♯, saapa, tuʻungafasi
😀 => 😀, mata fiefia
🙎🏽‍♀ => 🙎🏽‍♀, fefine mataʻita, kili melomelo
🙎🏾‍♀ => 🙎🏾‍♀, fefine mataʻita, kili melomelo-ʻuliʻuli
🙎🏿‍♀ => 🙎🏿‍♀, fefine mataʻita, kili ʻuliʻuli
🙅🏻 => 🙅🏻, kili hinehina, tokotaha kaunima fetuiaki
🙅🏼 => 🙅🏼, kili kelokelo, tokotaha kaunima fetuiaki
🙅🏽 => 🙅🏽, kili melomelo, tokotaha kaunima fetuiaki
🙅🏾 => 🙅🏾, kili melomelo-ʻuliʻuli, tokotaha kaunima fetuiaki
🙅🏿 => 🙅🏿, kili ʻuliʻuli, tokotaha kaunima fetuiaki
🙅🏻‍♂ => 🙅🏻‍♂, kili hinehina, tangata kaunima fetuiaki
🙅🏼‍♂ => 🙅🏼‍♂, kili kelokelo, tangata kaunima fetuiaki
🙅🏽‍♂ => 🙅🏽‍♂, kili melomelo, tangata kaunima fetuiaki
🙅🏾‍♂ => 🙅🏾‍♂, kili melomelo-ʻuliʻuli, tangata kaunima fetuiaki
🙅🏿‍♂ => 🙅🏿‍♂, kili ʻuliʻuli, tangata kaunima fetuiaki
🙅🏻‍♀ => 🙅🏻‍♀, fefine kaunima fetuiaki, kili hinehina
🙅🏼‍♀ => 🙅🏼‍♀, fefine kaunima fetuiaki, kili kelokelo
🙅🏽‍♀ => 🙅🏽‍♀, fefine kaunima fetuiaki, kili melomelo
🙅🏾‍♀ => 🙅🏾‍♀, fefine kaunima fetuiaki, kili melomelo-ʻuliʻuli
🙅🏿‍♀ => 🙅🏿‍♀, fefine kaunima fetuiaki, kili ʻuliʻuli
🙆🏻 => 🙆🏻, kili hinehina, tokotaha kaunima fetuiaki ʻolunga
🙆🏼 => 🙆🏼, kili kelokelo, tokotaha kaunima fetuiaki ʻolunga
🙆🏽 => 🙆🏽, kili melomelo, tokotaha kaunima fetuiaki ʻolunga
🙆🏾 => 🙆🏾, kili melomelo-ʻuliʻuli, tokotaha kaunima fetuiaki ʻolunga
🙆🏿 => 🙆🏿, kili ʻuliʻuli, tokotaha kaunima fetuiaki ʻolunga
🙆🏻‍♂ => 🙆🏻‍♂, kili hinehina, tangata kaunima fetuiaki ʻolunga
🙆🏼‍♂ => 🙆🏼‍♂, kili kelokelo, tangata kaunima fetuiaki ʻolunga
🙆🏽‍♂ => 🙆🏽‍♂, kili melomelo, tangata kaunima fetuiaki ʻolunga
🙆🏾‍♂ => 🙆🏾‍♂, kili melomelo-ʻuliʻuli, tangata kaunima fetuiaki ʻolunga
🙆🏿‍♂ => 🙆🏿‍♂, kili ʻuliʻuli, tangata kaunima fetuiaki ʻolunga
🙆🏻‍♀ => 🙆🏻‍♀, fefine kaunima fetuiaki ʻolunga, kili hinehina
🙆🏼‍♀ => 🙆🏼‍♀, fefine kaunima fetuiaki ʻolunga, kili kelokelo
🙆🏽‍♀ => 🙆🏽‍♀, fefine kaunima fetuiaki ʻolunga, kili melomelo
🙆🏾‍♀ => 🙆🏾‍♀, fefine kaunima fetuiaki ʻolunga, kili melomelo-ʻuliʻuli
🙆🏿‍♀ => 🙆🏿‍♀, fefine kaunima fetuiaki ʻolunga, kili ʻuliʻuli
💁🏻 => 💁🏻, kili hinehina, tokotaha nima mafola
💁🏼 => 💁🏼, kili kelokelo, tokotaha nima mafola
💁🏽 => 💁🏽, kili melomelo, tokotaha nima mafola
💁🏾 => 💁🏾, kili melomelo-ʻuliʻuli, tokotaha nima mafola
💁🏿 => 💁🏿, kili ʻuliʻuli, tokotaha nima mafola
💁🏻‍♂ => 💁🏻‍♂, kili hinehina, tangata nima mafola
💁🏼‍♂ => 💁🏼‍♂, kili kelokelo, tangata nima mafola
💁🏽‍♂ => 💁🏽‍♂, kili melomelo, tangata nima mafola
💁🏾‍♂ => 💁🏾‍♂, kili melomelo-ʻuliʻuli, tangata nima mafola
💁🏿‍♂ => 💁🏿‍♂, kili ʻuliʻuli, tangata nima mafola
💁🏻‍♀ => 💁🏻‍♀, fefine nima mafola, kili hinehina
💁🏼‍♀ => 💁🏼‍♀, fefine nima mafola, kili kelokelo
💁🏽‍♀ => 💁🏽‍♀, fefine nima mafola, kili melomelo
💁🏾‍♀ => 💁🏾‍♀, fefine nima mafola, kili melomelo-ʻuliʻuli
💁🏿‍♀ => 💁🏿‍♀, fefine nima mafola, kili ʻuliʻuli
🙋🏻 => 🙋🏻, kili hinehina, tokotaha nima ʻi ʻolunga
🙋🏼 => 🙋🏼, kili kelokelo, tokotaha nima ʻi ʻolunga
🙋🏽 => 🙋🏽, kili melomelo, tokotaha nima ʻi ʻolunga
🙋🏾 => 🙋🏾, kili melomelo-ʻuliʻuli, tokotaha nima ʻi ʻolunga
🙋🏿 => 🙋🏿, kili ʻuliʻuli, tokotaha nima ʻi ʻolunga
🙋🏻‍♂ => 🙋🏻‍♂, kili hinehina, tangata nima ʻi ʻolunga
🙋🏼‍♂ => 🙋🏼‍♂, kili kelokelo, tangata nima ʻi ʻolunga
🙋🏽‍♂ => 🙋🏽‍♂, kili melomelo, tangata nima ʻi ʻolunga
🙋🏾‍♂ => 🙋🏾‍♂, kili melomelo-ʻuliʻuli, tangata nima ʻi ʻolunga
🙋🏿‍♂ => 🙋🏿‍♂, kili ʻuliʻuli, tangata nima ʻi ʻolunga
🙋🏻‍♀ => 🙋🏻‍♀, fefine nima ʻi ʻolunga, kili hinehina
🙋🏼‍♀ => 🙋🏼‍♀, fefine nima ʻi ʻolunga, kili kelokelo
🙋🏽‍♀ => 🙋🏽‍♀, fefine nima ʻi ʻolunga, kili melomelo
🙋🏾‍♀ => 🙋🏾‍♀, fefine nima ʻi ʻolunga, kili melomelo-ʻuliʻuli
🙋🏿‍♀ => 🙋🏿‍♀, fefine nima ʻi ʻolunga, kili ʻuliʻuli
🧏🏻 => 🧏🏻, kili hinehina, tokotaha tuli
🧏🏼 => 🧏🏼, kili kelokelo, tokotaha tuli
🧏🏽 => 🧏🏽, kili melomelo, tokotaha tuli
🧏🏾 => 🧏🏾, kili melomelo-ʻuliʻuli, tokotaha tuli
🧏🏿 => 🧏🏿, kili ʻuliʻuli, tokotaha tuli
🧏🏻‍♂ => 🧏🏻‍♂, kili hinehina, tangata tuli
🧏🏼‍♂ => 🧏🏼‍♂, kili kelokelo, tangata tuli
🧏🏽‍♂ => 🧏🏽‍♂, kili melomelo, tangata tuli
🧏🏾‍♂ => 🧏🏾‍♂, kili melomelo-ʻuliʻuli, tangata tuli
🧏🏿‍♂ => 🧏🏿‍♂, kili ʻuliʻuli, tangata tuli
🧏🏻‍♀ => 🧏🏻‍♀, fefine tuli, kili hinehina
🧏🏼‍♀ => 🧏🏼‍♀, fefine tuli, kili kelokelo
🧏🏽‍♀ => 🧏🏽‍♀, fefine tuli, kili melomelo
🧏🏾‍♀ => 🧏🏾‍♀, fefine tuli, kili melomelo-ʻuliʻuli
🧏🏿‍♀ => 🧏🏿‍♀, fefine tuli, kili ʻuliʻuli
🙇🏻 => 🙇🏻, kili hinehina, tokotaha punou
🙇🏼 => 🙇🏼, kili kelokelo, tokotaha punou
🙇🏽 => 🙇🏽, kili melomelo, tokotaha punou
🙇🏾 => 🙇🏾, kili melomelo-ʻuliʻuli, tokotaha punou
🙇🏿 => 🙇🏿, kili ʻuliʻuli, tokotaha punou
🙇🏻‍♂ => 🙇🏻‍♂, kili hinehina, tangata punou
🙇🏼‍♂ => 🙇🏼‍♂, kili kelokelo, tangata punou
🙇🏽‍♂ => 🙇🏽‍♂, kili melomelo, tangata punou
🙇🏾‍♂ => 🙇🏾‍♂, kili melomelo-ʻuliʻuli, tangata punou
🙇🏿‍♂ => 🙇🏿‍♂, kili ʻuliʻuli, tangata punou
🙇🏻‍♀ => 🙇🏻‍♀, fefine punou, kili hinehina
🙇🏼‍♀ => 🙇🏼‍♀, fefine punou, kili kelokelo
🙇🏽‍♀ => 🙇🏽‍♀, fefine punou, kili melomelo
🙇🏾‍♀ => 🙇🏾‍♀, fefine punou, kili melomelo-ʻuliʻuli
🙇🏿‍♀ => 🙇🏿‍♀, fefine punou, kili ʻuliʻuli
🤦🏻 => 🤦🏻, kili hinehina, tokotaha nima ʻihe mata
🤦🏼 => 🤦🏼, kili kelokelo, tokotaha nima ʻihe mata
🤦🏽 => 🤦🏽, kili melomelo, tokotaha nima ʻihe mata
🤦🏾 => 🤦🏾, kili melomelo-ʻuliʻuli, tokotaha nima ʻihe mata
🤦🏿 => 🤦🏿, kili ʻuliʻuli, tokotaha nima ʻihe mata
🤦🏻‍♂ => 🤦🏻‍♂, kili hinehina, tangata nima ʻihe mata
🤦🏼‍♂ => 🤦🏼‍♂, kili kelokelo, tangata nima ʻihe mata
🤦🏽‍♂ => 🤦🏽‍♂, kili melomelo, tangata nima ʻihe mata
🤦🏾‍♂ => 🤦🏾‍♂, kili melomelo-ʻuliʻuli, tangata nima ʻihe mata
🤦🏿‍♂ => 🤦🏿‍♂, kili ʻuliʻuli, tangata nima ʻihe mata
🤦🏻‍♀ => 🤦🏻‍♀, fefine nima ʻihe mata, kili hinehina
🤦🏼‍♀ => 🤦🏼‍♀, fefine nima ʻihe mata, kili kelokelo
🤦🏽‍♀ => 🤦🏽‍♀, fefine nima ʻihe mata, kili melomelo
🤦🏾‍♀ => 🤦🏾‍♀, fefine nima ʻihe mata, kili melomelo-ʻuliʻuli
🤦🏿‍♀ => 🤦🏿‍♀, fefine nima ʻihe mata, kili ʻuliʻuli
🤷🏻 => 🤷🏻, kili hinehina, tokotaha fakamahiki
🤷🏼 => 🤷🏼, kili kelokelo, tokotaha fakamahiki
🤷🏽 => 🤷🏽, kili melomelo, tokotaha fakamahiki
🤷🏾 => 🤷🏾, kili melomelo-ʻuliʻuli, tokotaha fakamahiki
🤷🏿 => 🤷🏿, kili ʻuliʻuli, tokotaha fakamahiki
🤷🏻‍♂ => 🤷🏻‍♂, kili hinehina, tangata fakamahiki
🤷🏼‍♂ => 🤷🏼‍♂, kili kelokelo, tangata fakamahiki
🤷🏽‍♂ => 🤷🏽‍♂, kili melomelo, tangata fakamahiki
🤷🏾‍♂ => 🤷🏾‍♂, kili melomelo-ʻuliʻuli, tangata fakamahiki
🤷🏿‍♂ => 🤷🏿‍♂, kili ʻuliʻuli, tangata fakamahiki
🤷🏻‍♀ => 🤷🏻‍♀, fefine fakamahiki, kili hinehina
🤷🏼‍♀ => 🤷🏼‍♀, fefine fakamahiki, kili kelokelo
🤷🏽‍♀ => 🤷🏽‍♀, fefine fakamahiki, kili melomelo
🤷🏾‍♀ => 🤷🏾‍♀, fefine fakamahiki, kili melomelo-ʻuliʻuli
🤷🏿‍♀ => 🤷🏿‍♀, fefine fakamahiki, kili ʻuliʻuli
🧑🏻‍⚕ => 🧑🏻‍⚕, kili hinehina, neesi
🧑🏼‍⚕ => 🧑🏼‍⚕, kili kelokelo, neesi
🧑🏽‍⚕ => 🧑🏽‍⚕, kili melomelo, neesi
🧑🏾‍⚕ => 🧑🏾‍⚕, kili melomelo-ʻuliʻuli, neesi
🧑🏿‍⚕ => 🧑🏿‍⚕, kili ʻuliʻuli, neesi
👨🏻‍⚕ => 👨🏻‍⚕, kili hinehina, neesi tangata
👨🏼‍⚕ => 👨🏼‍⚕, kili kelokelo, neesi tangata
👨🏽‍⚕ => 👨🏽‍⚕, kili melomelo, neesi tangata
👨🏾‍⚕ => 👨🏾‍⚕, kili melomelo-ʻuliʻuli, neesi tangata
👨🏿‍⚕ => 👨🏿‍⚕, kili ʻuliʻuli, neesi tangata
👩🏻‍⚕ => 👩🏻‍⚕, kili hinehina, neesi fefine
👩🏼‍⚕ => 👩🏼‍⚕, kili kelokelo, neesi fefine
👩🏽‍⚕ => 👩🏽‍⚕, kili melomelo, neesi fefine
👩🏾‍⚕ => 👩🏾‍⚕, kili melomelo-ʻuliʻuli, neesi fefine
👩🏿‍⚕ => 👩🏿‍⚕, kili ʻuliʻuli, neesi fefine
🧑🏻‍🎓 => 🧑🏻‍🎓, kili hinehina, tokotaha ako
🧑🏼‍🎓 => 🧑🏼‍🎓, kili kelokelo, tokotaha ako
🧑🏽‍🎓 => 🧑🏽‍🎓, kili melomelo, tokotaha ako
🧑🏾‍🎓 => 🧑🏾‍🎓, kili melomelo-ʻuliʻuli, tokotaha ako
🧑🏿‍🎓 => 🧑🏿‍🎓, kili ʻuliʻuli, tokotaha ako
👨🏻‍🎓 => 👨🏻‍🎓, kili hinehina, tamasiʻi ako
👨🏼‍🎓 => 👨🏼‍🎓, kili kelokelo, tamasiʻi ako
👨🏽‍🎓 => 👨🏽‍🎓, kili melomelo, tamasiʻi ako
👨🏾‍🎓 => 👨🏾‍🎓, kili melomelo-ʻuliʻuli, tamasiʻi ako
👨🏿‍🎓 => 👨🏿‍🎓, kili ʻuliʻuli, tamasiʻi ako
👩🏻‍🎓 => 👩🏻‍🎓, kili hinehina, taʻahine ako
👩🏼‍🎓 => 👩🏼‍🎓, kili kelokelo, taʻahine ako
👩🏽‍🎓 => 👩🏽‍🎓, kili melomelo, taʻahine ako
👩🏾‍🎓 => 👩🏾‍🎓, kili melomelo-ʻuliʻuli, taʻahine ako
👩🏿‍🎓 => 👩🏿‍🎓, kili ʻuliʻuli, taʻahine ako
🧑🏻‍🏫 => 🧑🏻‍🏫, faiako, kili hinehina
🧑🏼‍🏫 => 🧑🏼‍🏫, faiako, kili kelokelo
🧑🏽‍🏫 => 🧑🏽‍🏫, faiako, kili melomelo
🧑🏾‍🏫 => 🧑🏾‍🏫, faiako, kili melomelo-ʻuliʻuli
🧑🏿‍🏫 => 🧑🏿‍🏫, faiako, kili ʻuliʻuli
👨🏻‍🏫 => 👨🏻‍🏫, faiako tangata, kili hinehina
👨🏼‍🏫 => 👨🏼‍🏫, faiako tangata, kili kelokelo
👨🏽‍🏫 => 👨🏽‍🏫, faiako tangata, kili melomelo
👨🏾‍🏫 => 👨🏾‍🏫, faiako tangata, kili melomelo-ʻuliʻuli
👨🏿‍🏫 => 👨🏿‍🏫, faiako tangata, kili ʻuliʻuli
👩🏻‍🏫 => 👩🏻‍🏫, faiako fefine, kili hinehina
👩🏼‍🏫 => 👩🏼‍🏫, faiako fefine, kili kelokelo
👩🏽‍🏫 => 👩🏽‍🏫, faiako fefine, kili melomelo
👩🏾‍🏫 => 👩🏾‍🏫, faiako fefine, kili melomelo-ʻuliʻuli
👩🏿‍🏫 => 👩🏿‍🏫, faiako fefine, kili ʻuliʻuli
🧑🏻‍⚖ => 🧑🏻‍⚖, fakamaau, kili hinehina
🧑🏼‍⚖ => 🧑🏼‍⚖, fakamaau, kili kelokelo
🧑🏽‍⚖ => 🧑🏽‍⚖, fakamaau, kili melomelo
🧑🏾‍⚖ => 🧑🏾‍⚖, fakamaau, kili melomelo-ʻuliʻuli
🧑🏿‍⚖ => 🧑🏿‍⚖, fakamaau, kili ʻuliʻuli
👨🏻‍⚖ => 👨🏻‍⚖, fakamaau tangata, kili hinehina
👨🏼‍⚖ => 👨🏼‍⚖, fakamaau tangata, kili kelokelo
👨🏽‍⚖ => 👨🏽‍⚖, fakamaau tangata, kili melomelo
👨🏾‍⚖ => 👨🏾‍⚖, fakamaau tangata, kili melomelo-ʻuliʻuli
👨🏿‍⚖ => 👨🏿‍⚖, fakamaau tangata, kili ʻuliʻuli
👩🏻‍⚖ => 👩🏻‍⚖, fakamaau fefine, kili hinehina
👩🏼‍⚖ => 👩🏼‍⚖, fakamaau fefine, kili kelokelo
👩🏽‍⚖ => 👩🏽‍⚖, fakamaau fefine, kili melomelo
👩🏾‍⚖ => 👩🏾‍⚖, fakamaau fefine, kili melomelo-ʻuliʻuli
👩🏿‍⚖ => 👩🏿‍⚖, fakamaau fefine, kili ʻuliʻuli
🧑🏻‍🌾 => 🧑🏻‍🌾, kili hinehina, tokotaha ngoue
🧑🏼‍🌾 => 🧑🏼‍🌾, kili kelokelo, tokotaha ngoue
🧑🏽‍🌾 => 🧑🏽‍🌾, kili melomelo, tokotaha ngoue
🧑🏾‍🌾 => 🧑🏾‍🌾, kili melomelo-ʻuliʻuli, tokotaha ngoue
🧑🏿‍🌾 => 🧑🏿‍🌾, kili ʻuliʻuli, tokotaha ngoue
👨🏻‍🌾 => 👨🏻‍🌾, kili hinehina, tangata ngoue
👨🏼‍🌾 => 👨🏼‍🌾, kili kelokelo, tangata ngoue
👨🏽‍🌾 => 👨🏽‍🌾, kili melomelo, tangata ngoue
👨🏾‍🌾 => 👨🏾‍🌾, kili melomelo-ʻuliʻuli, tangata ngoue
👨🏿‍🌾 => 👨🏿‍🌾, kili ʻuliʻuli, tangata ngoue
👩🏻‍🌾 => 👩🏻‍🌾, fefine ngoue, kili hinehina
👩🏼‍🌾 => 👩🏼‍🌾, fefine ngoue, kili kelokelo
👩🏽‍🌾 => 👩🏽‍🌾, fefine ngoue, kili melomelo
👩🏾‍🌾 => 👩🏾‍🌾, fefine ngoue, kili melomelo-ʻuliʻuli
👩🏿‍🌾 => 👩🏿‍🌾, fefine ngoue, kili ʻuliʻuli
🧑🏻‍🍳 => 🧑🏻‍🍳, kili hinehina, tokotaha ngaohikai
🧑🏼‍🍳 => 🧑🏼‍🍳, kili kelokelo, tokotaha ngaohikai
🧑🏽‍🍳 => 🧑🏽‍🍳, kili melomelo, tokotaha ngaohikai
🧑🏾‍🍳 => 🧑🏾‍🍳, kili melomelo-ʻuliʻuli, tokotaha ngaohikai
🧑🏿‍🍳 => 🧑🏿‍🍳, kili ʻuliʻuli, tokotaha ngaohikai
👨🏻‍🍳 => 👨🏻‍🍳, kili hinehina, tangata ngaohikai
👨🏼‍🍳 => 👨🏼‍🍳, kili kelokelo, tangata ngaohikai
👨🏽‍🍳 => 👨🏽‍🍳, kili melomelo, tangata ngaohikai
👨🏾‍🍳 => 👨🏾‍🍳, kili melomelo-ʻuliʻuli, tangata ngaohikai
👨🏿‍🍳 => 👨🏿‍🍳, kili ʻuliʻuli, tangata ngaohikai
👩🏻‍🍳 => 👩🏻‍🍳, fefine ngaohikai, kili hinehina
👩🏼‍🍳 => 👩🏼‍🍳, fefine ngaohikai, kili kelokelo
👩🏽‍🍳 => 👩🏽‍🍳, fefine ngaohikai, kili melomelo
👩🏾‍🍳 => 👩🏾‍🍳, fefine ngaohikai, kili melomelo-ʻuliʻuli
👩🏿‍🍳 => 👩🏿‍🍳, fefine ngaohikai, kili ʻuliʻuli
🧑🏻‍🔧 => 🧑🏻‍🔧, ʻenisia, kili hinehina
🧑🏼‍🔧 => 🧑🏼‍🔧, ʻenisia, kili kelokelo
🧑🏽‍🔧 => 🧑🏽‍🔧, ʻenisia, kili melomelo
🧑🏾‍🔧 => 🧑🏾‍🔧, ʻenisia, kili melomelo-ʻuliʻuli
🧑🏿‍🔧 => 🧑🏿‍🔧, ʻenisia, kili ʻuliʻuli
👨🏻‍🔧 => 👨🏻‍🔧, ʻenisinia tangata, kili hinehina
👨🏼‍🔧 => 👨🏼‍🔧, ʻenisinia tangata, kili kelokelo
👨🏽‍🔧 => 👨🏽‍🔧, ʻenisinia tangata, kili melomelo
👨🏾‍🔧 => 👨🏾‍🔧, ʻenisinia tangata, kili melomelo-ʻuliʻuli
👨🏿‍🔧 => 👨🏿‍🔧, ʻenisinia tangata, kili ʻuliʻuli
👩🏻‍🔧 => 👩🏻‍🔧, ʻenisinia fefine, kili hinehina
👩🏼‍🔧 => 👩🏼‍🔧, ʻenisinia fefine, kili kelokelo
👩🏽‍🔧 => 👩🏽‍🔧, ʻenisinia fefine, kili melomelo
👩🏾‍🔧 => 👩🏾‍🔧, ʻenisinia fefine, kili melomelo-ʻuliʻuli
👩🏿‍🔧 => 👩🏿‍🔧, ʻenisinia fefine, kili ʻuliʻuli
🧑🏻‍🏭 => 🧑🏻‍🏭, kili hinehina, tokotaha ngāue fale faʻuʻanga
🧑🏼‍🏭 => 🧑🏼‍🏭, kili kelokelo, tokotaha ngāue fale faʻuʻanga
🧑🏽‍🏭 => 🧑🏽‍🏭, kili melomelo, tokotaha ngāue fale faʻuʻanga
🧑🏾‍🏭 => 🧑🏾‍🏭, kili melomelo-ʻuliʻuli, tokotaha ngāue fale faʻuʻanga
🧑🏿‍🏭 => 🧑🏿‍🏭, kili ʻuliʻuli, tokotaha ngāue fale faʻuʻanga
👨🏻‍🏭 => 👨🏻‍🏭, kili hinehina, tangata ngāue fale faʻuʻanga
👨🏼‍🏭 => 👨🏼‍🏭, kili kelokelo, tangata ngāue fale faʻuʻanga
👨🏽‍🏭 => 👨🏽‍🏭, kili melomelo, tangata ngāue fale faʻuʻanga
👨🏾‍🏭 => 👨🏾‍🏭, kili melomelo-ʻuliʻuli, tangata ngāue fale faʻuʻanga
👨🏿‍🏭 => 👨🏿‍🏭, kili ʻuliʻuli, tangata ngāue fale faʻuʻanga
👩🏻‍🏭 => 👩🏻‍🏭, fefine ngāue fale faʻuʻanga, kili hinehina
👩🏼‍🏭 => 👩🏼‍🏭, fefine ngāue fale faʻuʻanga, kili kelokelo
👩🏽‍🏭 => 👩🏽‍🏭, fefine ngāue fale faʻuʻanga, kili melomelo
👩🏾‍🏭 => 👩🏾‍🏭, fefine ngāue fale faʻuʻanga, kili melomelo-ʻuliʻuli
👩🏿‍🏭 => 👩🏿‍🏭, fefine ngāue fale faʻuʻanga, kili ʻuliʻuli
🧑🏻‍💼 => 🧑🏻‍💼, kili hinehina, tokotaha ngāue ʻōfisi
🧑🏼‍💼 => 🧑🏼‍💼, kili kelokelo, tokotaha ngāue ʻōfisi
🧑🏽‍💼 => 🧑🏽‍💼, kili melomelo, tokotaha ngāue ʻōfisi
🧑🏾‍💼 => 🧑🏾‍💼, kili melomelo-ʻuliʻuli, tokotaha ngāue ʻōfisi
🧑🏿‍💼 => 🧑🏿‍💼, kili ʻuliʻuli, tokotaha ngāue ʻōfisi
👨🏻‍💼 => 👨🏻‍💼, kili hinehina, tangata ngāue ʻōfisi
👨🏼‍💼 => 👨🏼‍💼, kili kelokelo, tangata ngāue ʻōfisi
👨🏽‍💼 => 👨🏽‍💼, kili melomelo, tangata ngāue ʻōfisi
👨🏾‍💼 => 👨🏾‍💼, kili melomelo-ʻuliʻuli, tangata ngāue ʻōfisi
👨🏿‍💼 => 👨🏿‍💼, kili ʻuliʻuli, tangata ngāue ʻōfisi
👩🏻‍💼 => 👩🏻‍💼, fefine ngāue ʻōfisi, kili hinehina
👩🏼‍💼 => 👩🏼‍💼, fefine ngāue ʻōfisi, kili kelokelo
👩🏽‍💼 => 👩🏽‍💼, fefine ngāue ʻōfisi, kili melomelo
👩🏾‍💼 => 👩🏾‍💼, fefine ngāue ʻōfisi, kili melomelo-ʻuliʻuli
👩🏿‍💼 => 👩🏿‍💼, fefine ngāue ʻōfisi, kili ʻuliʻuli
🧑🏻‍🔬 => 🧑🏻‍🔬, kili hinehina, tokotaha faisaienisi
🧑🏼‍🔬 => 🧑🏼‍🔬, kili kelokelo, tokotaha faisaienisi
🧑🏽‍🔬 => 🧑🏽‍🔬, kili melomelo, tokotaha faisaienisi
🧑🏾‍🔬 => 🧑🏾‍🔬, kili melomelo-ʻuliʻuli, tokotaha faisaienisi
🧑🏿‍🔬 => 🧑🏿‍🔬, kili ʻuliʻuli, tokotaha faisaienisi
👨🏻‍🔬 => 👨🏻‍🔬, kili hinehina, tangata faisaienisi
👨🏼‍🔬 => 👨🏼‍🔬, kili kelokelo, tangata faisaienisi
👨🏽‍🔬 => 👨🏽‍🔬, kili melomelo, tangata faisaienisi
👨🏾‍🔬 => 👨🏾‍🔬, kili melomelo-ʻuliʻuli, tangata faisaienisi
👨🏿‍🔬 => 👨🏿‍🔬, kili ʻuliʻuli, tangata faisaienisi
👩🏻‍🔬 => 👩🏻‍🔬, fefine faisaienisi, kili hinehina
👩🏼‍🔬 => 👩🏼‍🔬, fefine faisaienisi, kili kelokelo
👩🏽‍🔬 => 👩🏽‍🔬, fefine faisaienisi, kili melomelo
👩🏾‍🔬 => 👩🏾‍🔬, fefine faisaienisi, kili melomelo-ʻuliʻuli
👩🏿‍🔬 => 👩🏿‍🔬, fefine faisaienisi, kili ʻuliʻuli
🧑🏻‍💻 => 🧑🏻‍💻, kili hinehina, tokotaha fakatekinolosia
🧑🏼‍💻 => 🧑🏼‍💻, kili kelokelo, tokotaha fakatekinolosia
🧑🏽‍💻 => 🧑🏽‍💻, kili melomelo, tokotaha fakatekinolosia
🧑🏾‍💻 => 🧑🏾‍💻, kili melomelo-ʻuliʻuli, tokotaha fakatekinolosia
🧑🏿‍💻 => 🧑🏿‍💻, kili ʻuliʻuli, tokotaha fakatekinolosia
👨🏻‍💻 => 👨🏻‍💻, kili hinehina, tangata fakatekinolosia
👨🏼‍💻 => 👨🏼‍💻, kili kelokelo, tangata fakatekinolosia
👨🏽‍💻 => 👨🏽‍💻, kili melomelo, tangata fakatekinolosia
👨🏾‍💻 => 👨🏾‍💻, kili melomelo-ʻuliʻuli, tangata fakatekinolosia
👨🏿‍💻 => 👨🏿‍💻, kili ʻuliʻuli, tangata fakatekinolosia
👩🏻‍💻 => 👩🏻‍💻, fefine fakatekinolosia, kili hinehina
👩🏼‍💻 => 👩🏼‍💻, fefine fakatekinolosia, kili kelokelo
👩🏽‍💻 => 👩🏽‍💻, fefine fakatekinolosia, kili melomelo
👩🏾‍💻 => 👩🏾‍💻, fefine fakatekinolosia, kili melomelo-ʻuliʻuli
👩🏿‍💻 => 👩🏿‍💻, fefine fakatekinolosia, kili ʻuliʻuli
🧑🏻‍🎤 => 🧑🏻‍🎤, kili hinehina, tokotaha hiva
🧑🏼‍🎤 => 🧑🏼‍🎤, kili kelokelo, tokotaha hiva
🧑🏽‍🎤 => 🧑🏽‍🎤, kili melomelo, tokotaha hiva
🧑🏾‍🎤 => 🧑🏾‍🎤, kili melomelo-ʻuliʻuli, tokotaha hiva
🧑🏿‍🎤 => 🧑🏿‍🎤, kili ʻuliʻuli, tokotaha hiva
👨🏻‍🎤 => 👨🏻‍🎤, kili hinehina, tangata hiva
👨🏼‍🎤 => 👨🏼‍🎤, kili kelokelo, tangata hiva
👨🏽‍🎤 => 👨🏽‍🎤, kili melomelo, tangata hiva
👨🏾‍🎤 => 👨🏾‍🎤, kili melomelo-ʻuliʻuli, tangata hiva
👨🏿‍🎤 => 👨🏿‍🎤, kili ʻuliʻuli, tangata hiva
👩🏻‍🎤 => 👩🏻‍🎤, fefine hiva, kili hinehina
👩🏼‍🎤 => 👩🏼‍🎤, fefine hiva, kili kelokelo
👩🏽‍🎤 => 👩🏽‍🎤, fefine hiva, kili melomelo
👩🏾‍🎤 => 👩🏾‍🎤, fefine hiva, kili melomelo-ʻuliʻuli
👩🏿‍🎤 => 👩🏿‍🎤, fefine hiva, kili ʻuliʻuli
🧑🏻‍🎨 => 🧑🏻‍🎨, kili hinehina, tokotaha tā-fakatātā
🧑🏼‍🎨 => 🧑🏼‍🎨, kili kelokelo, tokotaha tā-fakatātā
🧑🏽‍🎨 => 🧑🏽‍🎨, kili melomelo, tokotaha tā-fakatātā
🧑🏾‍🎨 => 🧑🏾‍🎨, kili melomelo-ʻuliʻuli, tokotaha tā-fakatātā
🧑🏿‍🎨 => 🧑🏿‍🎨, kili ʻuliʻuli, tokotaha tā-fakatātā
👨🏻‍🎨 => 👨🏻‍🎨, kili hinehina, tangata tā-fakatātā
